Tiempo (s),intensidad
97,1.965956028638164e-8
98,1.8766876671727335e-8
99,1.754641108568783e-8
100,2.0670643647289385e-8
101,1.8658219589376272e-8
102,2.1880603685279018e-8
103,2.0138216244168322e-8
104,2.145614522395897e-8
105,1.92199918864951e-8
106,2.1429779380265757e-8
107,2.10828830662003e-8
108,1.954312455764517e-8
109,1.879074504360372e-8
110,1.942262834707243e-8
111,1.685943436779105e-8
112,1.784978543489636e-8
113,2.02668381847864e-8
114,1.932477739873291e-8
115,2.0277840374429627e-8
116,1.986824011666149e-8
117,2.1636469657732178e-8
118,2.0823129498668193e-8
119,1.9903066771785936e-8
120,1.886437408505635e-8
121,2.1873511056246946e-8
122,1.9353619571634204e-8
123,2.0607912419594572e-8
124,2.226045310368907e-8
125,2.1755231047535402e-8
126,2.0104320541854416e-8
127,2.132123711456394e-8
128,2.0373962384249e-8
129,2.1545590435685496e-8
130,2.024104824374209e-8
131,2.1763678412570616e-8
132,1.9462830480694992e-8
133,2.1003622303101088e-8
134,1.8228502829517948e-8
135,1.7913357777235564e-8
136,2.1177890575048306e-8
137,2.1270975138976164e-8
138,1.8980353644508166e-8
139,2.0178133916684503e-8
140,2.0858856675042536e-8
141,2.1459569235925132e-8
142,2.0702157102816968e-8
143,1.7481721611010314e-8
144,2.0291539602938082e-8
145,1.892922354201403e-8
146,2.128132675704631e-8
147,2.0368732280460605e-8
148,2.0686670642649908e-8
149,2.2017332445726347e-8
150,1.9939272101034452e-8
151,2.079307882750705e-8
152,1.9874961680636662e-8
153,2.0990771449617823e-8
154,1.9767852870045765e-8
155,1.9531090842361448e-8
156,2.0038984068584155e-8
157,1.875426291216757e-8
158,2.0637144258470897e-8
159,2.1170192155579348e-8
160,2.1000396763538686e-8
161,2.0350824075114734e-8
162,1.9604781213492284e-8
163,2.0783132193546275e-8
164,1.9752160232479917e-8
165,2.0509874361774478e-8
166,1.8393060526802385e-8
167,1.8661532264278063e-8
168,1.8414290915163048e-8
169,1.7564225330152684e-8
170,1.7911811080365945e-8
171,1.8426476600869872e-8
172,2.06775938191944e-8
173,2.080812748573108e-8
174,1.8003738653853693e-8
175,1.8289928175227367e-8
176,1.7337305422554118e-8
177,1.7578790890667797e-8
178,1.6890674783152278e-8
179,1.770766511234248e-8
180,1.8578754671460423e-8
181,2.3678707893933872e-8
182,2.2403950270245012e-8
183,1.840240566012155e-8
184,1.9349881067199074e-8
185,1.5649000340523888e-8
186,1.5810113946992596e-8
187,1.5825658867908394e-8
188,1.7012083277333172e-8
189,1.6295211437548996e-8
190,1.6733303957168127e-8
191,1.622078993262197e-8
192,1.6151817542641526e-8
193,1.8020983955303333e-8
194,1.6676403703059176e-8
195,1.550277700140204e-8
196,1.4897520784166577e-8
197,1.9694973464028074e-8
198,2.1548299342287855e-8
199,1.9539443928226792e-8
200,2.5596907557165234e-8
201,1.9404300875204683e-8
202,1.9363194148061033e-8
203,2.2963892227473638e-8
204,2.2287686997317037e-8
205,2.248573043914943e-8
206,2.1878583462277674e-8
