accuracy,bearing,leq_100,leq_1000,leq_10000,leq_125,leq_1250,leq_12500,leq_160,leq_1600,leq_16000,leq_200,leq_2000,leq_250,leq_2500,leq_315,leq_3150,leq_400,leq_4000,leq_500,leq_5000,leq_630,leq_6300,leq_800,leq_8000,leq_id,leq_mean,leq_utc,location_utc,marker-color,speed,geometry_wkt
7.5,59.1,36.66727066040039,32.16908264160156,30.491872787475586,38.47332763671875,32.46078109741211,29.83114242553711,34.18633270263672,34.36079406738281,28.205585479736328,32.88335037231445,33.518829345703125,28.8448543548584,33.079017639160156,28.177457809448242,33.10966873168945,34.58758544921875,31.225616455078125,36.21285629272461,31.71018409729004,32.50444412231445,40.263675689697266,31.16338539123535,42.51887130737305,1,46.696384,1763009541749,1763009541000,#CEE4CC,0.42999998,POINT Z (-75.52992979064584 10.417264667339623 0)
9.5,49.7,38.56719970703125,30.80893898010254,32.03908920288086,35.04386520385742,31.642099380493164,28.168359756469727,32.93964767456055,32.103878021240234,28.480382919311523,30.711763381958008,31.4704532623291,28.295944213867188,30.453664779663086,26.832361221313477,30.673263549804688,30.65009307861328,30.739662170410156,28.507797241210938,30.67764663696289,31.951400756835938,38.2047004699707,29.743900299072266,40.66486740112305,6,44.757195,1763009546778,1763009547000,#B8D6D1,0.63,POINT Z (-75.52991981618106 10.417276653461158 0)
11.0,48.5,31.980567932128906,30.81079864501953,30.872943878173828,38.26171875,32.10585403442383,26.610315322875977,30.098787307739258,32.68882369995117,28.089509963989258,26.862966537475586,31.844736099243164,28.70295524597168,31.692867279052734,29.089025497436523,31.981796264648438,30.696523666381836,31.39557456970215,29.431020736694336,31.429134368896484,32.18675994873047,38.799739837646484,32.28089141845703,41.16311264038086,11,45.379894,1763009551748,1763009551000,#CEE4CC,0.56,POINT Z (-75.52991285920143 10.417278581298888 0)
10.5,233.4,32.171321868896484,30.569801330566406,28.128694534301758,30.875717163085938,30.956056594848633,24.005115509033203,28.5198917388916,31.67508316040039,24.398954391479492,28.091325759887695,30.892332077026367,27.10849952697754,30.57297706604004,27.934795379638672,31.312820434570312,29.92923927307129,30.567821502685547,29.51816177368164,30.416175842285156,32.18520736694336,40.37493896484375,30.039600372314453,39.97581481933594,16,44.952003,1763009556751,1763009556000,#B8D6D1,0.96,POINT Z (-75.5299299582839 10.4172701574862 0)
11.5,125.4,32.837493896484375,30.5523738861084,29.035541534423828,35.430091857910156,31.892866134643555,24.193614959716797,31.19826316833496,33.01361846923828,24.49543571472168,29.29329490661621,31.751428604125977,30.47320556640625,30.821744918823242,28.390079498291016,30.943737030029297,30.745098114013672,30.188072204589844,29.122650146484375,29.979461669921875,31.762399673461914,38.62092590332031,31.02224349975586,39.57051086425781,21,44.62562,1763009561783,1763009562000,#B8D6D1,1.11,POINT Z (-75.52992233075202 10.417200461961329 0)
10.0,132.2,35.53355026245117,30.68134880065918,29.846967697143555,32.39957046508789,30.817424774169922,24.32337188720703,32.2542724609375,32.3874397277832,24.805095672607422,31.480058670043945,31.50963592529297,30.261306762695312,30.432371139526367,28.561065673828125,31.310474395751953,30.868331909179688,30.418378829956055,29.46778106689453,30.519683837890625,31.4569091796875,37.712623596191406,30.055299758911133,39.72454833984375,26,44.397762,1763009566772,1763009567000,#B8D6D1,0.5,POINT Z (-75.52991386502981 10.41716726962477 1)
10.0,241.5,32.50869369506836,31.935529708862305,34.239627838134766,33.12863540649414,33.73584747314453,31.081514358520508,31.161176681518555,33.648780822753906,30.29560089111328,30.048641204833984,33.196651458740234,30.334049224853516,32.600128173828125,28.951868057250977,32.93268966674805,33.476417541503906,32.9437370300293,30.24626350402832,34.83342742919922,33.073978424072266,39.23500442504883,30.820781707763672,41.63579177856445,31,46.36229,1763009571756,1763009572000,#CEE4CC,0.59999996,POINT Z (-75.52993322722614 10.417137178592384 2)
9.5,312.9,33.881736755371094,30.76186752319336,26.384218215942383,35.32608413696289,30.907733917236328,22.67528533935547,33.69907760620117,32.160858154296875,23.844558715820312,35.28746795654297,30.700693130493164,37.33228302001953,29.874019622802734,34.335899353027344,29.76746368408203,36.0175666809082,29.454734802246094,30.317554473876953,28.541215896606445,32.098567962646484,38.74171447753906,31.074453353881836,38.68721008300781,36,44.450504,1763009576762,1763009577000,#B8D6D1,0.42999998,POINT Z (-75.52995971404016 10.417146859690547 2)
9.5,185.5,46.857818603515625,39.85667419433594,33.94070053100586,50.072078704833984,39.77238082885742,25.993080139160156,44.39635467529297,41.04682540893555,25.813180923461914,41.456390380859375,40.02340316772461,38.28280258178711,40.74609375,38.530540466308594,40.2075309753418,38.973472595214844,40.763431549072266,35.46376419067383,39.90254211425781,38.73835372924805,43.589134216308594,40.25065994262695,45.171058654785156,41,51.824066,1763009581750,1763009581000,#E2F2BF,0.81,POINT Z (-75.52996239624918 10.41712577920407 2)
9.0,250.8,33.033363342285156,24.31167221069336,22.868101119995117,31.615798950195312,23.849958419799805,21.960773468017578,29.73293685913086,25.12934684753418,23.425931930541992,30.246444702148438,24.397945404052734,31.489049911499023,24.34189224243164,28.87816047668457,24.709999084472656,27.45191192626953,23.966686248779297,26.595430374145508,23.269071578979492,27.8347110748291,39.07267379760742,25.154624938964844,38.43221664428711,46,42.04884,1763009586765,1763009587000,#B8D6D1,0.78999996,POINT Z (-75.52997044287622 10.417118067853153 1)
9.0,289.9,40.270790100097656,26.06587028503418,22.980510711669922,37.5009765625,25.401559829711914,22.05333709716797,39.31847381591797,25.208587646484375,23.57518196105957,33.087921142578125,24.851776123046875,34.42908477783203,27.091751098632812,30.83721351623535,27.66511344909668,31.43975067138672,28.634809494018555,28.96687889099121,25.835826873779297,28.67696762084961,40.48581314086914,26.103822708129883,39.5151252746582,51,43.693485,1763009591748,1763009591000,#B8D6D1,0.75,POINT Z (-75.52999181672931 10.417130892165005 0)
