Tiempo (s),intensidad
97,1.761992274885479e-8
98,2.0044120271868505e-8
99,1.801992586771703e-8
100,1.7679541587108324e-8
101,1.8335835329828714e-8
102,2.0582759521512282e-8
103,2.0199443282150546e-8
104,1.9774085151937342e-8
105,2.1454055511142762e-8
106,2.0416251171785752e-8
107,2.017966721665982e-8
108,1.9148360711245204e-8
109,2.1460236314830137e-8
110,2.1320657813673533e-8
111,1.9724558905931788e-8
112,2.0627210473024362e-8
113,1.993056911021992e-8
114,2.139424672924156e-8
115,1.982270874825911e-8
116,2.080151661329704e-8
117,1.8912589663443916e-8
118,1.8374985286439315e-8
119,1.9613938083381622e-8
120,1.814949727641141e-8
121,1.965956028638164e-8
122,1.8766876671727335e-8
123,1.754641108568783e-8
124,2.0670643647289385e-8
125,1.8923871919687e-8
126,1.8658219589376272e-8
127,2.1880603685279018e-8
128,2.0138216244168322e-8
129,2.145614522395897e-8
130,1.9943987807708413e-8
131,1.92199918864951e-8
132,2.1429779380265757e-8
133,2.10828830662003e-8
134,1.954312455764517e-8
135,2.1153829518748355e-8
136,1.879074504360372e-8
137,1.942262834707243e-8
138,1.685943436779105e-8
139,1.784978543489636e-8
140,1.8641132783200614e-8
141,2.02668381847864e-8
142,1.932477739873291e-8
143,2.0277840374429627e-8
144,1.986824011666149e-8
145,2.0480992569055892e-8
146,2.1636469657732178e-8
147,2.0823129498668193e-8
148,1.9903066771785936e-8
149,1.886437408505635e-8
150,2.036743317141171e-8
151,2.1873511056246946e-8
152,1.9353619571634204e-8
153,2.0607912419594572e-8
154,2.226045310368907e-8
155,2.1487159122656297e-8
156,2.1755231047535402e-8
157,2.0104320541854416e-8
158,2.132123711456394e-8
159,2.0373962384249e-8
160,2.0530073301595834e-8
161,2.1545590435685496e-8
162,2.024104824374209e-8
163,2.1763678412570616e-8
164,1.9462830480694992e-8
165,2.063863640212709e-8
166,2.1003622303101088e-8
167,1.8228502829517948e-8
168,1.7913357777235564e-8
169,2.1177890575048306e-8
170,2.244588843651074e-8
171,2.1270975138976164e-8
172,1.8980353644508166e-8
173,2.0178133916684503e-8
174,2.0858856675042536e-8
175,2.165254749992782e-8
176,2.1459569235925132e-8
177,2.0702157102816968e-8
178,1.7481721611010314e-8
179,2.0291539602938082e-8
180,1.9916535741873995e-8
181,1.892922354201403e-8
182,2.128132675704631e-8
183,2.0368732280460605e-8
184,2.0686670642649908e-8
185,2.0392783097449297e-8
186,2.2017332445726347e-8
187,1.9939272101034452e-8
188,2.079307882750705e-8
189,1.9874961680636662e-8
190,2.056411386869756e-8
191,2.0990771449617823e-8
192,1.9767852870045765e-8
193,1.9531090842361448e-8
194,2.0038984068584155e-8
195,2.023556337419296e-8
196,1.875426291216757e-8
197,2.0637144258470897e-8
198,2.1170192155579348e-8
199,2.1000396763538686e-8
200,1.959196516811348e-8
201,2.0350824075114734e-8
202,1.9604781213492284e-8
203,2.0783132193546275e-8
204,1.9752160232479917e-8
205,2.0258971804066556e-8
206,2.0509874361774478e-8
207,1.8393060526802385e-8
208,1.8661532264278063e-8
209,1.8414290915163048e-8
210,1.8660990853080287e-8
211,1.7564225330152684e-8
212,1.7911811080365945e-8
213,1.8426476600869872e-8
214,2.06775938191944e-8
215,1.740867830380657e-8
216,2.080812748573108e-8
217,1.8003738653853693e-8
218,1.8289928175227367e-8
219,1.7337305422554118e-8
220,1.667777075774169e-8
221,1.7578790890667797e-8
222,1.6890674783152278e-8
223,1.770766511234248e-8
224,1.8578754671460423e-8
225,2.0767379537885484e-8
226,2.3678707893933872e-8
227,2.2403950270245012e-8
228,1.840240566012155e-8
229,1.9349881067199074e-8
230,1.933552639914119e-8
231,1.5649000340523888e-8
232,1.5810113946992596e-8
233,1.5825658867908394e-8
234,1.7012083277333172e-8
235,1.652209062602042e-8
236,1.6295211437548996e-8
237,1.6733303957168127e-8
238,1.622078993262197e-8
239,1.6151817542641526e-8
240,1.6381399433275287e-8
241,1.8020983955303333e-8
242,1.6676403703059176e-8
243,1.550277700140204e-8
244,1.4897520784166577e-8
245,1.8864673801540467e-8
246,1.9694973464028074e-8
247,2.1548299342287855e-8
248,1.9539443928226792e-8
249,2.5596907557165234e-8
250,2.2514940313629067e-8
251,1.9404300875204683e-8
252,1.9363194148061033e-8
253,2.2963892227473638e-8
254,2.2287686997317037e-8
255,2.418792982817344e-8
256,2.248573043914943e-8
257,2.1878583462277674e-8
258,2.4639052333946518e-8
259,2.2370824975632063e-8
260,2.2280180248799454e-8
261,2.3812966444914626e-8
262,2.446265553811786e-8
263,2.1436752806359036e-8
264,2.2384427941935757e-8
265,2.149158768206204e-8
266,1.995172728885492e-8
267,2.4172857952552306e-8
268,2.1471579829411145e-8
269,2.0157144075958136e-8
270,2.0546256237169063e-8
271,2.2713313746585067e-8
272,2.347884885155161e-8
273,2.4777757603361676e-8
274,2.1658715668579454e-8
275,2.1076607114896212e-8
276,2.1654890897884166e-8
277,2.0203206367434166e-8
278,1.9415854107153082e-8
279,2.1622524606069056e-8
280,2.0904712541989892e-8
281,2.094930887440442e-8
282,1.9315035024498415e-8
283,2.133418221133309e-8
284,1.9327336142417165e-8
285,1.9982508206508075e-8
286,1.762983306374633e-8
287,1.7884466931601702e-8
288,1.5560229565533315e-8
289,1.7750038525301606e-8
290,1.444528118389804e-8
291,1.4884193247260589e-8
292,1.6267244715279478e-8
293,1.4089156719769082e-8
294,1.382995286636663e-8
295,1.2745480122630476e-8
296,1.4887679130150097e-8
297,1.4950681856416458e-8
298,1.4697541664561931e-8
299,1.4671347373300355e-8
300,1.4822091843561663e-8
301,1.6317626943915187e-8
302,1.6217428803483267e-8
303,1.962336129831378e-8
304,1.9342873874453802e-8
305,1.8274238977195612e-8
306,1.819142415174941e-8
307,1.7188073414711607e-8
308,1.815791588772805e-8
309,1.7758177801808084e-8
310,1.7296223955865037e-8
311,1.6261230278943967e-8
312,1.6406638157824092e-8
313,1.743323562270254e-8
314,1.7263998913231342e-8
315,1.6593641382639495e-8
316,1.4667496727773287e-8
317,1.4741510971308256e-8
318,1.508870612189459e-8
319,1.7074618147156417e-8
320,1.8873589286037946e-8
321,1.6827980496450196e-8
322,1.833644752745444e-8
323,1.740011024785358e-8
324,1.5677658494384322e-8
325,1.9870211966817044e-8
326,1.6029943809338635e-8
327,1.5347007310770542e-8
328,1.8366622509523524e-8
329,1.6406366160779545e-8
330,1.6437016836344088e-8
331,1.869519502509311e-8
332,1.7472176170424338e-8
333,1.7669058148561e-8
334,1.660709996993113e-8
335,2.0328418830920666e-8
336,1.859740290574933e-8
337,2.047685712230789e-8
338,1.9887046994178855e-8
339,2.0942609747786992e-8
340,1.9616882916474103e-8
341,2.0099534528253257e-8
342,2.2710181232290892e-8
343,2.0815483351927045e-8
344,1.8633910276434104e-8
345,1.5912704574189427e-8
346,1.858024344599902e-8
347,1.9071374747220774e-8
348,1.7331134792919064e-8
349,1.6384417276511368e-8
350,1.9228690092660286e-8
351,1.810755445782913e-8
352,1.8579507599995272e-8
353,2.2565782609919446e-8
354,1.8498691083196463e-8
355,1.8822218037535615e-8
356,2.0146054291758535e-8
357,2.0066794353400626e-8
358,1.8361865420680325e-8
359,2.0906387702909963e-8
360,1.983179388082923e-8
361,1.9307809268259376e-8
362,1.938962456244707e-8
363,2.0583442000022342e-8
364,2.1576271583318395e-8
365,2.0810398661419015e-8
366,2.176884063501153e-8
367,2.1647761772907926e-8
368,2.16890634870486e-8
369,2.1708209290809028e-8
370,2.362867669495194e-8
371,2.3173018054566588e-8
